Marks,DSA,soft_skill,engg skills
-0.18074536039832473,0.7134481784303999,0.18343220956176326,0.588739467904644
0.657493992173616,-0.08761644296513683,0.7704152801594056,0.30755046830839616
-0.43221716616990696,-0.48814875366290517,1.357398350757048,0.30755046830839616
1.7472051505171389,1.1139804891281682,1.9443814213546904,1.7134954662896356
-1.3542804539990418,1.1139804891281682,-0.40355086103587917,0.588739467904644
0.48984612165922786,1.5145127998259367,-0.9905339316335215,0.588739467904644
-1.4381043892562357,-0.8886810643606735,-1.577517002231164,-1.3795835292690912
-0.5998650366842951,-0.08761644296513683,0.7704152801594056,0.30755046830839616
0.23837431588764565,0.7134481784303999,0.18343220956176326,0.588739467904644
1.0766136684595864,1.1139804891281682,0.7704152801594056,1.1511174670971398
-1.689576195027818,-1.2892133750584418,-2.1645000728288064,-1.941961528461587
-0.013097489883936574,-1.6897456857562103,-0.40355086103587917,-1.3795835292690912
-0.8513368424558773,-0.48814875366290517,0.7704152801594056,0.02636146871214824
0.8251418626880042,0.3129158677326315,0.18343220956176326,0.30755046830839616
-0.43221716616990696,-2.090277996453979,-1.577517002231164,-2.2231505280578348
0.4060221864020338,-0.48814875366290517,-0.40355086103587917,-0.5360165304803476
1.2442615389739746,-0.48814875366290517,-0.9905339316335215,-0.8172055300765955
-0.7675129071986833,-1.2892133750584418,0.7704152801594056,-0.5360165304803476
1.7472051505171389,0.3129158677326315,1.357398350757048,0.8699284675008919
0.9089657979451983,-0.08761644296513683,-0.40355086103587917,-0.25482753088409965
-0.43221716616990696,0.7134481784303999,0.18343220956176326,0.588739467904644
-1.4381043892562357,-0.8886810643606735,-1.577517002231164,-1.3795835292690912
0.74131792743081,-1.6897456857562103,0.18343220956176326,-1.0983945296728435
-0.9351607777130714,0.3129158677326315,-0.40355086103587917,0.02636146871214824
1.4119094094883626,1.1139804891281682,0.7704152801594056,1.1511174670971398
0.15455038063045157,1.5145127998259367,1.357398350757048,1.7134954662896356
-0.2645692956555188,1.5145127998259367,-0.40355086103587917,0.8699284675008919
0.8251418626880042,1.1139804891281682,0.7704152801594056,1.1511174670971398
0.9927897332023923,-0.08761644296513683,0.7704152801594056,0.30755046830839616
-1.3542804539990418,-0.8886810643606735,0.18343220956176326,-0.5360165304803476
-1.605752259770624,-0.48814875366290517,-1.577517002231164,-1.0983945296728435
0.32219825114483974,0.3129158677326315,-0.40355086103587917,0.02636146871214824
